pcds,laua,lat,long
BS1 3LL,E06000023,51.460066,-2.59045
BS1 3LN,E06000023,51.459448,-2.591824
BS1 3LP,E06000023,51.459006,-2.592164
BS1 3LQ,E06000023,51.459689,-2.588675
BS1 3LR,E06000023,51.458936,-2.591717
BS1 3LS,E06000023,51.458399,-2.591163
BS1 3LT,E06000023,51.458895,-2.590724
BS1 3LU,E06000023,51.459109,-2.589574
BS1 3LW,E06000023,51.458076,-2.592943
BS1 3LX,E06000023,51.459094,-2.588811
BS1 3LY,E06000023,51.460066,-2.59045
BS1 3LZ,E06000023,51.459081,-2.58789
BS1 3NA,E06000023,51.458417,-2.585909
BS1 3NB,E06000023,51.459896,-2.588649
BS1 3ND,E06000023,51.458967,-2.594394
BS1 3NE,E06000023,51.459896,-2.588649
BS1 3NF,E06000023,51.459881,-2.591527
BS1 3NG,E06000023,51.460607,-2.591653
BS1 3NH,E06000023,51.460455,-2.591823
BS1 3NL,E06000023,51.458967,-2.594394
BS1 3NN,E06000023,51.460696,-2.592157
BS1 3NP,E06000023,51.458967,-2.594394
BS1 3NQ,E06000023,51.459881,-2.591527
BS1 3NS,E06000023,51.459867,-2.594406
BS1 3NT,E06000023,51.459852,-2.597284
BS1 3NU,E06000023,51.459478,-2.593019
BS1 3NW,E06000023,51.459952,-2.593543
BS1 3NX,E06000023,51.459988,-2.591687
BS1 3NY,E06000023,51.459571,-2.5941
BS1 3NZ,E06000023,51.458687,-2.593009
BS1 3PA,E06000023,51.458967,-2.594394
BS1 3PB,E06000023,51.459896,-2.588649
BS1 3PD,E06000023,51.456845,-2.583673
BS1 3PE,E06000023,51.458112,-2.585747
BS1 3PF,E06000023,51.456845,-2.583673
BS1 3PG,E06000023,51.456898,-2.583889
BS1 3PH,E06000023,51.45741,-2.584126
BS1 3PJ,E06000023,51.457239,-2.584081
BS1 3PL,E06000023,51.461016,-2.591225
BS1 3PN,E06000023,51.46078,-2.591539
BS1 3PQ,E06000023,51.456898,-2.583889
BS1 3PR,E06000023,51.461019,-2.590549
BS1 3PS,E06000023,51.459881,-2.591527
BS1 3PT,E06000023,51.459888,-2.590088
BS1 3PU,E06000023,51.459799,-2.586416
BS1 3PW,E06000023,51.461186,-2.591213
BS1 3PY,E06000023,51.461556,-2.591103
BS1 3PZ,E06000023,51.46078,-2.591539
